epoch ,time      ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
   27 ,11794.6   ,       1.2251  ,       1.36112 ,       1.02615 ,             0.61027 ,          0.61115 ,         0.61623 ,            0.39518 ,     1.18306 ,     1.50164 ,     1.01127 ,0.000255215 ,0.000255215 ,0.000255215
   28 ,12210.2   ,       1.21929 ,       1.35815 ,       1.02451 ,             0.62667 ,          0.62736 ,         0.6443  ,            0.41249 ,     1.18224 ,     1.4685  ,     1.00119 ,0.0002448   ,0.0002448   ,0.0002448
   29 ,12629.5   ,       1.24333 ,       1.37068 ,       1.02616 ,             0.67375 ,          0.60764 ,         0.63902 ,            0.39952 ,     1.18877 ,     1.4929  ,     1.00761 ,0.000234386 ,0.000234386 ,0.000234386
   30 ,13051.9   ,       1.20578 ,       1.337   ,       1.00482 ,             0.62463 ,          0.62352 ,         0.62401 ,            0.39851 ,     1.20444 ,     1.47799 ,     1.01553 ,0.000223971 ,0.000223971 ,0.000223971
   31 ,13468.1   ,       1.20638 ,       1.30623 ,       1.00396 ,             0.62228 ,          0.62849 ,         0.64817 ,            0.41334 ,     1.21323 ,     1.4395  ,     1.01129 ,0.000213556 ,0.000213556 ,0.000213556
   32 ,13889.5   ,       1.21269 ,       1.2874  ,       1.00437 ,             0.67004 ,          0.62653 ,         0.66304 ,            0.4218  ,     1.19398 ,     1.42373 ,     1.00167 ,0.000203141 ,0.000203141 ,0.000203141
   33 ,14308.6   ,       1.19453 ,       1.27891 ,       1.00445 ,             0.62373 ,          0.67963 ,         0.65873 ,            0.42748 ,     1.17388 ,     1.38339 ,     0.99688 ,0.000192726 ,0.000192726 ,0.000192726
   34 ,14727.6   ,       1.18061 ,       1.25878 ,       1.00304 ,             0.66242 ,          0.65351 ,         0.65759 ,            0.4306  ,     1.16346 ,     1.37397 ,     1.00141 ,0.000182312 ,0.000182312 ,0.000182312
   35 ,15144.6   ,       1.19358 ,       1.2617  ,       1.02136 ,             0.663   ,          0.6309  ,         0.66864 ,            0.43657 ,     1.1756  ,     1.38769 ,     0.99829 ,0.000171897 ,0.000171897 ,0.000171897
   36 ,15564.1   ,       1.20224 ,       1.27764 ,       1.01007 ,             0.67784 ,          0.64406 ,         0.66952 ,            0.43311 ,     1.16357 ,     1.36934 ,     0.99985 ,0.000161482 ,0.000161482 ,0.000161482
   37 ,15998.7   ,       1.17558 ,       1.24676 ,       1.00506 ,             0.65835 ,          0.65466 ,         0.67237 ,            0.43548 ,     1.15165 ,     1.36293 ,     0.99485 ,0.000151067 ,0.000151067 ,0.000151067
   38 ,16437.1   ,       1.16297 ,       1.23083 ,       1.00207 ,             0.66282 ,          0.6506  ,         0.67172 ,            0.4379  ,     1.1465  ,     1.35741 ,     0.99154 ,0.000140652 ,0.000140652 ,0.000140652
   39 ,16887.7   ,       1.17006 ,       1.22057 ,       1.00353 ,             0.68736 ,          0.66785 ,         0.67821 ,            0.45238 ,     1.15641 ,     1.34388 ,     0.99113 ,0.000130238 ,0.000130238 ,0.000130238
   40 ,17302.9   ,       1.1699  ,       1.20977 ,       0.99443 ,             0.69891 ,          0.66589 ,         0.67987 ,            0.44677 ,     1.16231 ,     1.33706 ,     0.99816 ,0.000119823 ,0.000119823 ,0.000119823
   41 ,17710.5   ,       1.18308 ,       1.27366 ,       1.02236 ,             0.67269 ,          0.64813 ,         0.66359 ,            0.43765 ,     1.17843 ,     1.4436  ,     0.99578 ,0.000109408 ,0.000109408 ,0.000109408
   42 ,18113.3   ,       1.16435 ,       1.21534 ,       1.01508 ,             0.67588 ,          0.66151 ,         0.66503 ,            0.43111 ,     1.17719 ,     1.37509 ,     1.00062 ,9.89932e-05 ,9.89932e-05 ,9.89932e-05
   43 ,18521.6   ,       1.15651 ,       1.19785 ,       1.0011  ,             0.67537 ,          0.65941 ,         0.67038 ,            0.43032 ,     1.20324 ,     1.34755 ,     1.00011 ,8.85784e-05 ,8.85784e-05 ,8.85784e-05
   44 ,18926.8   ,       1.14665 ,       1.18324 ,       1.00685 ,             0.65558 ,          0.67819 ,         0.67285 ,            0.44456 ,     1.15202 ,     1.30567 ,     0.98961 ,7.81636e-05 ,7.81636e-05 ,7.81636e-05
   45 ,19332.2   ,       1.13586 ,       1.14588 ,       1.00156 ,             0.66702 ,          0.645   ,         0.68518 ,            0.44724 ,     1.17932 ,     1.32715 ,     0.99672 ,6.77488e-05 ,6.77488e-05 ,6.77488e-05
   46 ,19747.3   ,       1.13861 ,       1.15879 ,       1.00836 ,             0.64432 ,          0.67944 ,         0.6893  ,            0.4515  ,     1.15504 ,     1.29634 ,     0.99009 ,5.7334e-05  ,5.7334e-05  ,5.7334e-05
   47 ,20148.2   ,       1.13711 ,       1.16115 ,       1.00232 ,             0.67386 ,          0.66159 ,         0.69178 ,            0.4573  ,     1.15627 ,     1.28216 ,     0.99285 ,4.69192e-05 ,4.69192e-05 ,4.69192e-05
   48 ,20560     ,       1.1257  ,       1.12922 ,       0.99647 ,             0.65737 ,          0.67645 ,         0.69279 ,            0.45982 ,     1.15782 ,     1.28874 ,     0.99558 ,3.65044e-05 ,3.65044e-05 ,3.65044e-05
   49 ,20966.3   ,       1.13741 ,       1.14836 ,       1.00428 ,             0.6595  ,          0.68415 ,         0.69243 ,            0.45813 ,     1.14399 ,     1.28004 ,     0.98959 ,2.60896e-05 ,2.60896e-05 ,2.60896e-05
   50 ,21369.9   ,       1.11414 ,       1.13194 ,       0.9963  ,             0.66412 ,          0.6823  ,         0.6948  ,            0.46061 ,     1.14292 ,     1.27519 ,     0.98753 ,1.56748e-05 ,1.56748e-05 ,1.56748e-05
