epoch ,time       ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
   27 , 13893.1   ,       1.20895 ,       1.31598 ,       0.98794 ,             0.62727 ,          0.58221 ,         0.63231 ,            0.40033 ,     1.20182 ,     1.42527 ,     0.96241 ,0.000435738 ,0.000435738 ,0.000435738
   28 , 14400.7   ,       1.23449 ,       1.31297 ,       0.99703 ,             0.59973 ,          0.58374 ,         0.61045 ,            0.37871 ,     1.20277 ,     1.38368 ,     0.96057 ,0.000432267 ,0.000432267 ,0.000432267
   29 , 14912.5   ,       1.23785 ,       1.2877  ,       0.99153 ,             0.63914 ,          0.59609 ,         0.64266 ,            0.40576 ,     1.20654 ,     1.3709  ,     0.95758 ,0.000428795 ,0.000428795 ,0.000428795
   30 , 15419.9   ,       1.21012 ,       1.25804 ,       0.97973 ,             0.65175 ,          0.57712 ,         0.62687 ,            0.40032 ,     1.2153  ,     1.41111 ,     0.96577 ,0.000425324 ,0.000425324 ,0.000425324
   31 , 15923.6   ,       1.20753 ,       1.27344 ,       0.98229 ,             0.6076  ,          0.5734  ,         0.61933 ,            0.38593 ,     1.25146 ,     1.44025 ,     0.98918 ,0.000421852 ,0.000421852 ,0.000421852
   32 , 16431.4   ,       1.20281 ,       1.26111 ,       0.97144 ,             0.61159 ,          0.60513 ,         0.61295 ,            0.38882 ,     1.22498 ,     1.46323 ,     0.98199 ,0.00041838  ,0.00041838  ,0.00041838
   33 , 16937.9   ,       1.21744 ,       1.26173 ,       0.9875  ,             0.61971 ,          0.64044 ,         0.63765 ,            0.38634 ,     1.23986 ,     1.37603 ,     0.97143 ,0.000414909 ,0.000414909 ,0.000414909
   34 , 17442.5   ,       1.1998  ,       1.23757 ,       0.97559 ,             0.62756 ,          0.57851 ,         0.61275 ,            0.36732 ,     1.27428 ,     1.41224 ,     0.96908 ,0.000411437 ,0.000411437 ,0.000411437
   35 , 17951.3   ,       1.21909 ,       1.20461 ,       0.97183 ,             0.64404 ,          0.62271 ,         0.64819 ,            0.38677 ,     1.25369 ,     1.39841 ,     0.96833 ,0.000407966 ,0.000407966 ,0.000407966
   36 , 18455.7   ,       1.20803 ,       1.22032 ,       0.97581 ,             0.62232 ,          0.60416 ,         0.62663 ,            0.40116 ,     1.18173 ,     1.34263 ,     0.95959 ,0.000404494 ,0.000404494 ,0.000404494
